Unnamed: 0,artist_name,track_name,track_id,popularity,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
19001,Wisin & Yandel,Algo Me Gusta De Ti,2FqoR7diymD1Eh7cVb3DMg,71,2012,0.627,0.768,11,-5.296,0,0.0325,0.00291,0.0,0.0598,0.237,127.953,274947,4
19018,Cali Y El Dandee,Yo Te Esperaré,0mGvaKpwLYoybnIoboC3uS,67,2012,0.481,0.81,9,-5.704,1,0.133,0.234,0.0,0.0809,0.328,175.697,232253,4
20740,The Lumineers,Ho Hey,0W4Kpfp1w2xkY3PrV714B7,73,2012,0.685,0.466,0,-9.074,1,0.0304,0.794,2.06e-06,0.0915,0.353,79.936,163133,4
20741,Passenger,Let Her Go,1KxwZYyzWNyZSRyErj2ojT,74,2012,0.479,0.545,7,-7.346,1,0.0688,0.365,0.0,0.0963,0.243,74.897,252733,4
20742,Of Monsters and Men,Little Talks,2ihCaVdNZmnHZWt0fvAM7B,78,2012,0.457,0.757,1,-5.177,1,0.032,0.0206,0.0,0.146,0.417,102.961,266600,4
20743,The Lumineers,Flowers in Your Hair,3Hvg5tRKsQlX25wYwgMF9p,69,2012,0.67,0.609,7,-10.088,1,0.0333,0.749,6.74e-05,0.227,0.573,127.463,109736,4
20744,The Lumineers,Stubborn Love,3ekNuTF3UpOvIZCfiejpnC,69,2012,0.598,0.56,0,-11.679,1,0.0375,0.607,0.0432,0.196,0.221,115.01,279000,4
20745,Mumford & Sons,I Will Wait,1fXiYSWmkKJfRKMegCkI11,67,2012,0.478,0.758,1,-5.4,1,0.0331,0.00974,0.00717,0.312,0.452,131.109,276720,4
20746,Phillip Phillips,Home,1EAgPzRbK9YmdOESSMUm6P,70,2012,0.606,0.826,0,-6.04,1,0.0307,0.0256,1.56e-05,0.117,0.322,121.04,210173,4
20747,Phillip Phillips,"Gone, Gone, Gone",56sxN1yKg1dgOZXBcAHkJG,72,2012,0.664,0.642,6,-5.961,1,0.038,0.129,0.0,0.114,0.501,118.002,209693,4
20751,Of Monsters and Men,Dirty Paws,5g7rJvWYVrloJZwKiShqlS,67,2012,0.359,0.649,3,-7.06,1,0.0349,0.107,0.0124,0.0555,0.133,111.709,278373,4
20757,Xavier Rudd,Follow The Sun,3Y7fpFZbHLpAvWJJYGehz0,70,2012,0.611,0.394,0,-10.757,1,0.0416,0.534,4.68e-05,0.108,0.202,123.941,256267,4
20774,Elvis Costello,She,31Tp5iKrVUayn65qhg06nE,66,2012,0.333,0.28,1,-12.87,1,0.032,0.427,1.88e-06,0.13,0.276,130.876,187720,4
24505,CRO,Einmal um die Welt,7qiUjLVo6zLj8WmxPMqoXD,67,2012,0.726,0.9,9,-4.134,1,0.0401,0.133,0.0,0.145,0.973,160.139,142463,4
32069,Kendrick Lamar,Money Trees,2HbKqm4o0w5wEeEFXm2sD4,79,2012,0.716,0.531,7,-7.355,1,0.122,0.0703,0.0,0.224,0.344,71.994,386907,4
32070,Frank Ocean,Lost,3GZD6HmiNUhxXYf8Gch723,82,2012,0.913,0.603,8,-4.892,1,0.226,0.0272,0.000503,0.167,0.497,123.061,234093,4
32071,Chief Keef,Love Sosa,01Lr5YepbgjXAWR9iOEyH1,80,2012,0.772,0.413,0,-8.193,0,0.089,0.0361,0.0,0.111,0.211,131.965,246213,4
32072,Frank Ocean,Thinkin Bout You,7DfFc7a6Rwfi3YQMRbDMau,76,2012,0.721,0.339,0,-11.195,1,0.0532,0.409,0.00153,0.0973,0.2,129.83,200747,4
32073,Kendrick Lamar,Swimming Pools (Drank),6REbwUNlppTfcnV4d4ZoZi,76,2012,0.577,0.447,8,-5.892,1,0.277,0.00627,0.00022,0.0899,0.189,74.236,247800,4
32074,Meek Mill,Dreams and Nightmares,42zd6DYQ4o4SECmTITrM1U,73,2012,0.631,0.774,11,-2.459,1,0.3,0.468,0.0,0.281,0.44,79.745,230693,4
32075,Kendrick Lamar,Poetic Justice,2P3SLxeQHPqh8qKB6gtJY2,71,2012,0.779,0.572,6,-9.985,0,0.378,0.157,0.0,0.246,0.647,135.956,300160,4
32076,Kendrick Lamar,"Bitch, Don’t Kill My Vibe",4Pwjz3DfvfQWV0rO2V8jyh,71,2012,0.587,0.698,1,-8.948,1,0.0943,0.0152,0.0,0.442,0.0985,133.954,310720,4
32077,Frank Ocean,Pyramids,4QhWbupniDd44EDtnh2bFJ,72,2012,0.4,0.65,5,-6.104,0,0.0466,0.0118,7.62e-05,0.791,0.15,107.989,592920,4
32078,Frank Ocean,Super Rich Kids,0725YWm6Z0TpZ6wrNk64Eb,72,2012,0.739,0.419,3,-8.241,0,0.0854,0.219,0.0,0.196,0.58,60.493,304760,4
32079,Kendrick Lamar,Swimming Pools (Drank) - Extended Version,5ujh1I7NZH5agbwf7Hp8Hc,69,2012,0.716,0.485,1,-7.745,1,0.404,0.123,2.69e-05,0.604,0.26,74.132,313787,4
32080,Chief Keef,I Don't Like,1h6kgem1ai8vUgO1rZOwfB,71,2012,0.742,0.844,2,-4.622,1,0.0479,0.000634,0.0,0.0659,0.416,131.986,293840,4
